Date,Open,High,Low,Close*,Adj Close**,Volume
"May 26, 2022",1851.8,1852.8,1836.3,1845.1,1845.1,105440
"May 25, 2022",1846.2,1846.2,1846.2,1846.2,1846.2,33
"May 24, 2022",1852.5,1867,1852.5,1865.1,1865.1,33
"May 23, 2022",1846.3,1863,1845.8,1847.8,1847.8,216
"May 20, 2022",1839.1,1841.8,1836.3,1841.8,1841.8,110
"May 19, 2022",1810.9,1841.2,1810.7,1841.2,1841.2,138
"May 18, 2022",1815,1819.7,1805,1815.9,1815.9,311
"May 17, 2022",1824.9,1828.6,1816.7,1818.2,1818.2,121
"May 16, 2022",1790.5,1813.5,1787,1813.5,1813.5,34
"May 13, 2022",1825,1825,1807.4,1807.4,1807.4,335
"May 12, 2022",1849.8,1851.9,1822.2,1823.8,1823.8,153
"May 11, 2022",1841.5,1852.6,1841,1852.6,1852.6,892
"May 10, 2022",1839.9,1839.9,1839.9,1839.9,1839.9,1540
"May 09, 2022",1866.6,1867.5,1854,1857.1,1857.1,304
"May 06, 2022",1874.7,1890.3,1871.5,1881.2,1881.2,214
"May 05, 2022",1897,1904.3,1874,1874,1874,80
"May 04, 2022",1867,1867,1867,1867,1867,1
"May 03, 2022",1868.8,1868.8,1868.8,1868.8,1868.8,466
"May 02, 2022",1896.7,1896.8,1853,1861.8,1861.8,385
"Apr 29, 2022",1902.7,1918.2,1902.4,1909.3,1909.3,132
"Apr 28, 2022",1883.8,1893,1872.9,1888.7,1888.7,513
"Apr 27, 2022",1897.8,1900.6,1882.2,1885.9,1885.9,1786
"Apr 26, 2022",1900.5,1909.1,1894,1901.4,1901.4,302
"Apr 25, 2022",1925,1925,1889.3,1893.2,1893.2,748
"Apr 22, 2022",1949.6,1950.4,1930.2,1931,1931,178
"Apr 21, 2022",1942.5,1944.9,1942.5,1944.9,1944.9,4
"Apr 20, 2022",1945.5,1953.6,1945.5,1952.3,1952.3,621
"Apr 19, 2022",1973.8,1978.3,1945.7,1955.7,1955.7,130
"Apr 18, 2022",1973.4,1997.1,1972.8,1982.9,1982.9,196
"Apr 14, 2022",1977.2,1978.7,1963,1970.9,1970.9,101
"Apr 13, 2022",1969.5,1981,1969.5,1981,1981,204
"Apr 12, 2022",1952.5,1977.1,1950.6,1972.1,1972.1,246
"Apr 11, 2022",1946.6,1968.4,1941.8,1944.3,1944.3,163
"Apr 08, 2022",1928.8,1947.7,1928.8,1941.6,1941.6,153
"Apr 07, 2022",1919.5,1934.8,1919.5,1933.8,1933.8,311
"Apr 06, 2022",1916.7,1931.8,1916.7,1918.4,1918.4,138
"Apr 05, 2022",1927.1,1943.5,1918.4,1922.9,1922.9,412
"Apr 04, 2022",1921.2,1936.1,1915.6,1929.2,1929.2,371
"Apr 01, 2022",1935,1938,1917,1919.1,1919.1,1016
"Mar 31, 2022",1933.5,1949.9,1919.1,1949.2,1949.2,3617
"Mar 30, 2022",1918.4,1937,1914.5,1933.5,1933.5,17765
"Mar 29, 2022",1893.5,1912,1893.5,1912,1912,128051
"Mar 28, 2022",1932.6,1939.6,1932.6,1939.6,1939.6,7
"Mar 25, 2022",1953.8,1953.8,1953.8,1953.8,1953.8,83
"Mar 24, 2022",1963.6,1964,1961.6,1961.6,1961.6,8
"Mar 23, 2022",1936.6,1936.6,1936.6,1936.6,1936.6,204
"Mar 21, 2022",1920.7,1920.7,1920.7,1920.7,1920.7,26
"Mar 21, 2022",1925.4,1928.6,1925,1928.6,1928.6,5
"Mar 18, 2022",1934.5,1939.3,1928.2,1928.2,1928.2,28
"Mar 17, 2022",1933.9,1947.2,1933.9,1942.1,1942.1,39
"Mar 16, 2022",1922.4,1922.4,1907.2,1908,1908,104
"Mar 15, 2022",1939.8,1939.9,1910.7,1928.5,1928.5,71
"Mar 14, 2022",1976.5,1977.7,1959.6,1959.6,1959.6,145
"Mar 11, 2022",1985,1996,1959.9,1982.7,1982.7,865
"Mar 10, 2022",1978.1,2010.5,1978.1,1998.1,1998.1,670
"Mar 09, 2022",2053.6,2063,1980.8,1985.9,1985.9,1022
"Mar 08, 2022",1999.4,2072,1998,2040.1,2040.1,1813
"Mar 07, 2022",1989,2001.1,1963,1993.9,1993.9,2516
"Mar 04, 2022",1937,1970.9,1935.6,1965.1,1965.1,47
"Mar 03, 2022",1930.5,1940.3,1924.8,1934.4,1934.4,122
"Mar 02, 2022",1945.6,1948.2,1919.8,1920.9,1920.9,109
"Mar 01, 2022",1908.3,1942.4,1903.8,1942.4,1942.4,547
"Feb 28, 2022",1928.3,1928.4,1894.2,1899.4,1899.4,390
"Feb 25, 2022",1906.9,1920,1883.6,1886.5,1886.5,586
"Feb 24, 2022",1911.9,1972.5,1911.7,1925.1,1925.1,2706
"Feb 23, 2022",1896.6,1910.6,1895.7,1909.2,1909.2,73
"Feb 22, 2022",1908.1,1912,1890.8,1906.1,1906.1,173
"Feb 18, 2022",1899.4,1899.4,1890.7,1898.6,1898.6,51
"Feb 17, 2022",1876.3,1900.7,1876.2,1900.7,1900.7,393
"Feb 16, 2022",1858.7,1870.2,1856.3,1870.2,1870.2,34
"Feb 15, 2022",1872.6,1879.7,1847.4,1854.8,1854.8,86
"Feb 14, 2022",1861.8,1870.6,1854.6,1868,1868,79
"Feb 11, 2022",1822,1864.8,1822,1840.8,1840.8,181
"Feb 10, 2022",1833.3,1842.1,1820.8,1836.2,1836.2,365
"Feb 09, 2022",1825.4,1835.2,1825.3,1835.2,1835.2,683
"Feb 08, 2022",1818.9,1827.6,1815,1826.6,1826.6,108
"Feb 07, 2022",1812.2,1821.3,1809.1,1820.6,1820.6,601
"Feb 04, 2022",1806,1813.7,1792.5,1806.6,1806.6,571
"Feb 03, 2022",1805.8,1808.1,1787.9,1803,1803,466
"Feb 02, 2022",1797.8,1810.1,1795.1,1809.2,1809.2,1690
"Feb 01, 2022",1797.2,1806.1,1797.1,1800.3,1800.3,223
"Jan 31, 2022",1788.5,1798.5,1785.1,1795,1795,1735
"Jan 28, 2022",1797.5,1798.4,1778.8,1784.9,1784.9,28521
"Jan 27, 2022",1793.3,1793.3,1793.3,1793.3,1793.3,196036
"Jan 26, 2022",1829.9,1829.9,1829.9,1829.9,1829.9,55
"Jan 25, 2022",1843,1852.7,1842,1852.7,1852.7,11
"Jan 24, 2022",1837.9,1842.1,1837.9,1841.7,1841.7,8
