Date,Open,High,Low,Close*,Adj Close**,Volume
"May 26, 2022",110.69,114.83,110.27,114.58,114.58,168765
"May 25, 2022",110.39,111.68,109.23,110.33,110.33,224794
"May 24, 2022",110.41,111.43,108.61,109.77,109.77,224794
"May 23, 2022",110.56,111.96,109.15,110.29,110.29,215623
"May 20, 2022",111.45,114.04,110.85,113.23,113.23,229930
"May 19, 2022",109.09,112.62,105.13,112.21,112.21,68511
"May 18, 2022",113.66,115.42,108.46,109.59,109.59,103669
"May 17, 2022",113.87,115.56,111.75,112.4,112.4,252630
"May 16, 2022",110.98,114.9,108.11,114.2,114.2,289127
"May 13, 2022",106.65,110.64,106.29,110.49,110.49,240989
"May 12, 2022",105.63,107.37,102.66,106.13,106.13,323547
"May 11, 2022",99,106.44,98.2,105.71,105.71,382701
"May 10, 2022",102.65,104.16,98.86,99.76,99.76,389750
"May 09, 2022",110.43,110.49,102.13,103.09,103.09,368183
"May 06, 2022",108.7,111.18,107.24,109.77,109.77,294278
"May 05, 2022",107.58,111.37,106.45,108.26,108.26,286916
"May 04, 2022",103.5,108.61,102.95,107.81,107.81,272909
"May 03, 2022",105.08,105.8,102.1,102.41,102.41,239266
"May 02, 2022",104,105.94,100.28,105.17,105.17,261878
"Apr 29, 2022",105.17,107.99,103.78,104.69,104.69,294386
"Apr 28, 2022",102.11,105.68,100.13,105.36,105.36,312064
"Apr 27, 2022",101.76,102.99,99.8,102.02,102.02,278781
"Apr 26, 2022",98.64,102.78,97.06,101.7,101.7,351850
"Apr 25, 2022",101.38,101.55,95.28,98.54,98.54,328153
"Apr 22, 2022",104.07,104.22,101.06,102.07,102.07,246116
"Apr 21, 2022",102.5,105.42,102.01,103.79,103.79,280321
"Apr 20, 2022",103.05,104.16,100.7,102.75,102.75,299028
"Apr 19, 2022",107.75,108.92,102.1,102.56,102.56,71792
"Apr 18, 2022",107.03,109.81,106,108.21,108.21,68489
"Apr 14, 2022",104.2,107.64,102.12,106.95,106.95,244952
"Apr 13, 2022",100.91,104.47,99.87,104.25,104.25,312502
"Apr 12, 2022",95.17,101.35,94.84,100.6,100.6,329037
"Apr 11, 2022",98.4,98.52,92.93,94.29,94.29,315873
